10005	204626	50
10010	93452	80
10015	205624	80
10020	170087	80
20005	144592	50
20010	144593	50
20015	144594	50
20020	78223	50
30005	67463	50
30010	67464	50
30015	158976	50
30020	183407	50
40005	212075	15
40010	212085	15
40015	215988	50
40020	214042	50
50005	161220	50
50010	161221	50
50015	222978	50
50020	222979	50
60005	72413	75
60010	220837	75
60015	72414	75
60020	160268	25
70005	215449	50
70010	215436	50
70015	215341	50
80005	176064	10
80010	176065	10
